   Vol_A   Vol_B
   0.99   0.03
   0.91   0.05
   1.06   0.01
   1.02   0.00
   1.06   0.00
   0.97   0.00
   0.99   0.00
   1.05   0.02
   0.96   0.00
   0.89   0.09
   0.10   0.89
   0.00   1.11
   0.10   0.90
   0.82   0.15
   0.83   0.21
   0.64   0.32
   0.80   0.11
   1.00   0.01
   1.02   0.00
   0.93   0.07
   0.24   0.77
   0.11   0.97
   0.62   0.35
   0.91   0.10
   0.84   0.00
   1.04   0.00
   1.06   0.00
   1.03   0.00
   1.04   0.00
   0.96   0.04
   0.20   0.84
   0.01   0.95
   0.14   0.83
   0.73   0.23
   0.99   0.00
   1.08   0.00
   0.97   0.01
   0.96   0.06
   0.90   0.07
   0.46   0.55
   0.06   0.95
   0.00   1.08
   0.07   0.92
   0.46   0.55
   0.93   0.12
   0.95   0.00
   1.09   0.00
   1.07   0.00
   1.01   0.00
   0.97   0.02
   0.17   0.80
   0.07   0.99
   0.14   0.84
   0.72   0.28
   1.05   0.00
   1.03   0.00
   1.01   0.01
   0.37   0.65
   0.25   0.78
   0.01   1.00
   0.03   0.94
   0.00   0.91
   0.00   1.04
   0.07   0.86
   0.79   0.21
   1.01   0.00
   1.02   0.01
   0.98   0.04
   1.04   0.01
   0.95   0.02
   0.93   0.06
   0.80   0.18
   0.25   0.75
   0.35   0.58
   1.05   0.00
   1.00   0.00
   0.84   0.10
   0.03   0.84
   0.00   1.01
   0.00   1.02
   0.07   0.93
   0.13   0.81
   0.02   1.00
   0.05   0.89
   0.87   0.08
   1.00   0.00
   1.03   0.01
   0.96   0.06
   0.89   0.06
   0.97   0.03
   1.00   0.01
   0.81   0.10
   0.11   0.81
   0.13   0.89
   0.80   0.22
   0.59   0.45
   0.22   0.71
   0.00   0.96
   0.00   1.02
   0.00   0.98
   0.03   0.99
   0.18   0.85
   0.11   0.96
   0.25   0.84
   0.94   0.05
   1.09   0.00
   0.91   0.00
   0.91   0.07
   0.20   0.74
   0.30   0.59
   0.97   0.02
   0.92   0.08
   0.15   0.88
   0.02   1.01
   0.05   0.87
   0.01   1.00
   0.00   1.06
   0.00   1.09
   0.00   1.03
   0.02   0.98
   0.13   0.80
   0.20   0.88
   0.76   0.22
   0.90   0.12
   0.98   0.00
   0.92   0.00
   0.99   0.00
   0.85   0.05
   0.11   0.92
   0.11   0.98
   0.76   0.26
   0.81   0.25
   0.16   0.88
   0.00   1.05
   0.00   1.08
   0.00   0.99
   0.02   1.04
   0.01   0.96
   0.00   0.98
   0.05   0.92
   0.65   0.34
   0.90   0.12
   1.01   0.01
   1.00   0.01
   0.94   0.02
   0.96   0.00
   1.08   0.00
   0.88   0.06
   0.25   0.73
   0.25   0.76
   0.03   0.93
   0.02   1.00
   0.00   1.03
   0.00   0.97
   0.00   0.98
   0.00   0.98
